키값,연도,학교종류,학교명,본분교,학교상태,설립,우편번호,주소,도로명주소,행정시,행정구,행정동,전화번호,팩스번호,홈페이지,address_lat,address_lon
BE_LiST23-0054,2013,일반대학,한국성서대학교,본교,기존,사립,,서울 노원구 상계7동 한국성서대학교,,서울특별시,노원구,상계6.7동,02-950-5401,02-950-5411,http://www.bible.ac.kr,37.648778,127.0643529
BE_LiST23-0055,2013,각종대학(대학),한국예술종합학교,본교,기존,특별법국립,,서울 성북구 석관동 ,,서울특별시,성북구,석관동,,,,37.6129569,127.0614129
BE_LiST23-0056,2013,일반대학,한국외국어대학교,본교,기존,사립,,서울 동대문구 이문로 107,,서울특별시,동대문구,이문1동,02-2173-2114,,http://www.hufs.ac.kr,37.5973078,127.0582878
BE_LiST23-0057,2013,일반대학,한국체육대학교,본교,기존,국립,,서울 송파구 오륜동 한국체육대학교,,서울특별시,송파구,오륜동,02-410-6564,02-410-6569,http://www.knsu.ac.kr/,37.5198884,127.1308626
BE_LiST23-0058,2013,기능대학,한국폴리텍 I 대학 서울강서캠퍼스,본교,기존,사립,,서울 강서구 화곡동 산60-1,,서울특별시,강서구,우장산동,02-2186-5800,02-2186-5819,http://kangseo.kopo.ac.kr,37.5503996,126.8435681
BE_LiST23-0059,2013,기능대학,한국폴리텍Ⅰ대학 서울정수캠퍼스,본교,기존,사립,,서울 용산구 보광로 73(보광동 238),,서울특별시,용산구,보광동,02-2001-4000,02-2001-4119,http://jungsu.kopo.ac.kr,37.5287699,126.9965892
BE_LiST23-0060,2013,일반대학,한성대학교,본교,기존,사립,,서울 성북구 삼선동3가 389 한성대학교,,서울특별시,성북구,삼선동,02-760-4231,02-745-8943,http://www.hansung.ac.kr,37.5825084,127.0102929
BE_LiST23-0061,2013,일반대학,한양대학교,본교,기존,사립,,서울특별시 성동구 왕십리로 222 ,,서울특별시,성동구,사근동,02-2220-0114,,http://www.hanyang.ac.kr,37.5545036,127.0466112
BE_LiST23-0062,2013,전문대학(2년제),한양여자대학교,본교,기존,사립,,서울 성동구 행당동 살곶이길 200,,서울특별시,성동구,사근동,02-2290-2114,02-2291-6111,http://www.hywoman.ac.kr,37.5590124,127.0497272
BE_LiST23-0063,2013,일반대학,한영신학대학교,본교,기존,사립,,서울 구로구 경인로 290-42  한영신학대학교,,서울특별시,구로구,개봉1동,02-2067-4500,02-2616-4102,http://www.hytu.ac.kr,37.4966286,126.8507649
BE_LiST23-0064,2013,일반대학,홍익대학교,본교,기존,사립,,서울특별시 마포구 와우산로 94(상수동),,서울특별시,마포구,서강동,02-320-1114,02-320-1122,http://www.hongik.ac.kr/,37.5482766,126.9223875
BE_LiST23-0001,2013,일반대학,가톨릭대학교,제2캠퍼스,기존,사립,,서울 서초구 반포동 505,,서울특별시,서초구,반포4동,,,http://songeui.catholic.ac.kr,37.5000798,127.0052599
BE_LiST23-0002,2013,일반대학,가톨릭대학교,제3캠퍼스,기존,사립,,서울 종로구 창경궁로 296-12(혜화동) ,,서울특별시,종로구,이화동,02-740-9714,02-741-2801,http://catholic.ac.kr,37.5859764,127.0043558
BE_LiST23-0003,2013,일반대학,감리교신학대학교,본교,기존,사립,,서울 서대문구 냉천동 감리교신학대학,,서울특별시,서대문구,천연동,02-361-9114,02-361-9299,http://www.mtu.ac.kr,37.5675717,126.9621585
BE_LiST23-0004,2013,일반대학,건국대학교,본교,기존,사립,,서울 광진구 화양동,,서울특별시,광진구,화양동,02-450-3114,02-450-4126,http://www.konkuk.ac.kr,37.5465421,127.0713152
BE_LiST23-0005,2013,일반대학,경기대학교,제2캠퍼스,기존,사립,,서울 서대문구 경기대로9길 24 경기대학교,,서울특별시,서대문구,충현동,02-390-5114,031-249-8718,http://www.kyonggi.ac.kr,37.5649767,126.9623605
BE_LiST23-0006,2013,일반대학,경희대학교,본교,기존,사립,,서울 동대문구 회기동 경희대학교,,서울특별시,동대문구,회기동,02-961-0114,02-961-0930,http://www.khu.ac.kr,37.5964494,127.0525009
BE_LiST23-0007,2013,일반대학,고려대학교,본교,기존,사립,,서울 성북구 안암동 고려대학교,,서울특별시,성북구,안암동,02-3290-1114,,http://www.korea.ac.kr,37.5899102,127.0318121
BE_LiST23-0008,2013,일반대학,광운대학교,본교,기존,사립,,서울특별시 노원구 월계동 447-1,,서울특별시,노원구,월계1동,,,http://www.kw.ac.kr,37.6197044,127.059678
BE_LiST23-0009,2013,일반대학,국민대학교,본교,기존,사립,,서울 성북구 정릉3동 국민대학교,,서울특별시,성북구,정릉3동,02-910-4114,,http://www.kookmin.ac.kr,37.6121866,126.995341
BE_LiST23-0010,2013,전공대학,국제예술대학,본교,기존,사립,,서울 강남구 논현동 79,,서울특별시,강남구,논현2동,02-542-8197,02-517-1392,http://www.kica.ac.kr,37.5169114,127.0310249
BE_LiST23-0011,2013,일반대학,그리스도대학교,본교,기존,사립,,서울 강서구 화곡6동 그리스도대학교,,서울특별시,강서구,화곡본동,02-2600-2400,02-2698-8876,http://kcu.ac.kr,37.548626,126.8548771
BE_LiST23-0012,2013,일반대학,덕성여자대학교,본교,기존,사립,,서울특별시 도봉구 삼양로 144길 33,,서울특별시,도봉구,쌍문1동,02-901-8000,,http://www.duksung.ac.kr,37.6515354,127.0166028
BE_LiST23-0013,2013,일반대학,동국대학교,본교,기존,사립,,서울 중구 필동3가 동국대학교,,서울특별시,중구,필동,02-2260-3114,02-2277-1274,http://www.dongguk.edu,37.5574704,127.0011519
BE_LiST23-0014,2013,일반대학,동덕여자대학교,본교,기존,사립,,서울 성북구 하월곡2동 동덕여자대학교,,서울특별시,성북구,삼선동,02-940-4000,02-940-4182,http://www.dongduk.ac.kr,37.6051787,127.046681
BE_LiST23-0015,2013,전문대학(3년제),동양미래대학교,본교,기존,사립,,서울시 구로구 경인로 445 동양미래대학교 (고척동 62-160),,서울특별시,구로구,고척1동,02-2610-1700,02-2688-5494,http://www.dongyang.ac.kr/,37.5009475,126.8675318
BE_LiST23-0016,2013,사이버대학(대학),디지털서울문화예술대학교,본교,기존,사립,,서울시 서대문구 통일로 37길 60 (홍제동 318-18),,서울특별시,서대문구,홍제1동,02-2287-0222,02-379-8828,http://www.scau.ac.kr,37.5853994,126.9439038
BE_LiST23-0017,2013,일반대학,명지대학교 인문캠퍼스,제2캠퍼스,기존,사립,,서울 서대문구 남가좌동 50-3,,서울특별시,서대문구,남가좌2동,02-300-1556,02-300-1556,http://www.mju.ac.kr,37.5802367,126.9231244
BE_LiST23-0018,2013,전문대학(3년제),명지전문대학,본교,기존,사립,,서울 서대문구 가좌로 134 명지전문대학 ,,서울특별시,서대문구,홍은2동,02-300-1000,02-304-4832,http://www.mjc.ac.kr,37.5846502,126.9254007
BE_LiST23-0019,2013,전문대학(3년제),배화여자대학교,본교,기존,사립,,서울 종로구 필운대로 1길 34 배화여자대학교,,서울특별시,종로구,청운효자동,02-399-0700,02-737-8431,http://www.baewha.ac.kr,37.5791763,126.9658922
BE_LiST23-0020,2013,전공대학,백석예술대학교,본교,기존,사립,,서울 서초구 방배로9길 23 백석예술대학교,,서울특별시,서초구,방배3동,02-520-0700,02-520-0879,http://www.bau.ac.kr,37.4801726,126.9962892
BE_LiST23-0021,2013,사이버대학(대학),사이버한국외국어대학교,본교,기존,사립,,서울 동대문구 이문동 한국외국어대학교,,서울특별시,동대문구,이문1동,02-2173-2580,02-966-6183,http://www.cufs.ac.kr,37.5973078,127.0582878
BE_LiST23-0022,2013,일반대학,삼육대학교,본교,기존,사립,,서울시 노원구 화랑로 815(공릉2동 26-21),,서울특별시,노원구,공릉2동,02-3399-3636,02-979-5318,http://www.syu.ac.kr,37.6429794,127.1042695
BE_LiST23-0023,2013,전문대학(3년제),삼육보건대학교,본교,학교명 변경,사립,,서울 동대문구 휘경2동,,서울특별시,동대문구,휘경2동,02-2212-0082,02-2215-2380,http://www.shu.ac.kr,37.5902092,127.0685787
BE_LiST23-0024,2013,일반대학,상명대학교,본교,기존,사립,,서울 종로구 홍지동 상명대학교,,서울특별시,종로구,부암동,02-2287-5114,02-2287-0031,http://www.smu.ac.kr,37.6035329,126.9560283
BE_LiST23-0025,2013,일반대학,서강대학교,본교,기존,사립,,서울 마포구 신수동 서강대학교,,서울특별시,마포구,대흥동,02-705-8114,,http://www.sogang.ac.kr,37.5527065,126.9392056
BE_LiST23-0026,2013,일반대학,서경대학교,본교,기존,사립,,서울 성북구 정릉4동 서경대학교,,서울특별시,성북구,정릉3동,02-940-7114,02-919-0345,http://www.skuniv.ac.kr,37.6150457,127.0133575
BE_LiST23-0027,2013,일반대학,서울과학기술대학교,본교,학제 변경,국립,,서울 노원구 공릉로 232 (공릉동 172),,서울특별시,노원구,공릉2동,02-970-6114,02-970-6088,http://www.seoultech.ac.kr,37.6316216,127.0783722
BE_LiST23-0028,2013,산업대학,서울과학기술대학교,본교,폐교,국립,,서울시 노원구 공릉로 232 서울과학기술대학교,,서울특별시,노원구,공릉2동,02-970-6114,02-975-8110,http://www.seoultech.ac.kr,37.6316217,127.0783723
BE_LiST23-0029,2013,교육대학,서울교육대학교,본교,기존,국립,,서울 서초구 서초중앙로 96(서초동 1650),,서울특별시,서초구,서초1동,02-3475-2114,02-581-7711,http://www.snue.ac.kr,37.4907061,127.0154373
BE_LiST23-0030,2013,일반대학,서울기독대학교,본교,기존,사립,,서울 은평구 갈현로 4길 26-2호,,서울특별시,은평구,신사1동,02-380-2500,02-380-2535,http://www.scu.ac.kr,37.6008716,126.9125713
BE_LiST23-0031,2013,일반대학,서울대학교,본교,기존,국립대법인,,서울 관악구 관악로 1 서울대학교,,서울특별시,관악구,낙성대동,02-880-5114,02-885-5272,http://www.snu.ac.kr,37.4552733,126.9543348
BE_LiST23-0032,2013,사이버대학(대학),서울디지털대학교,본교,기존,사립,,서울 마포구 도화동 560번지,,서울특별시,마포구,도화동,02-1644-0982,02-2128-3006,http://www.sdu.ac.kr,37.5429699,126.9478585
BE_LiST23-0033,2013,사이버대학(대학),서울사이버대학교,본교,기존,사립,,서울 강북구 솔매로49길 60(미아동 193-15) 서울사이버대학교,,서울특별시,강북구,미아동,02-944-5000,02-980-2222,http://www.iscu.ac.kr,37.6299155,127.0271207
